task,bash_calls,group,missing_signals,install_attempts
P2 文档工程,110,Step 0 · vibe 项目,5,7
双叉臂 · Step 0,105,双叉臂 · Step 0,1,3
双叉臂 · baseline,69,双叉臂 · baseline,6,5
P8 C++ 打包发布,55,Step 0 · vibe 项目,5,4
C11 文档转换,51,Step 0 · 12 用例,1,3
P6 OCR 表格流水线,47,Step 0 · vibe 项目,3,0
P5 交互式物理仿真,30,Step 0 · vibe 项目,1,1
P4 本地任务管理,24,Step 0 · vibe 项目,3,0
P1 财务 Dashboard,23,Step 0 · vibe 项目,2,0
P7 本地网站爬取,20,Step 0 · vibe 项目,0,0
