feature,calls,call_share,sessions,session_share,display_feature
复合调用（≥2 个命令段）,478,0.7354,22,1.0,复合调用
重定向 / heredoc,459,0.7062,21,0.9545,重定向/heredoc
条件链（&& / ||）,317,0.4877,22,1.0,条件链
内联 Python heredoc,291,0.4477,20,0.9091,内联 Python
管道（|）,188,0.2892,22,1.0,管道
依赖恢复,81,0.1246,9,0.4091,依赖恢复
进程 / 服务编排,56,0.0862,7,0.3182,进程编排
能力探测,25,0.0385,10,0.4545,能力探测
