feature,calls,call_share,sessions,session_share
复合调用（≥2 个命令段）,478,0.7354,22,1.0
重定向 / heredoc,459,0.7062,21,0.9545
Python 执行,361,0.5554,22,1.0
条件链（&& / ||）,317,0.4877,22,1.0
内联 Python heredoc,291,0.4477,20,0.9091
显式验证 / 视觉检查,216,0.3323,22,1.0
通过 Bash 写/改文件,207,0.3185,22,1.0
管道（|）,188,0.2892,22,1.0
依赖恢复,81,0.1246,9,0.4091
进程 / 服务编排,56,0.0862,7,0.3182
能力探测,25,0.0385,10,0.4545
