bundle,priority,domain,kind,item,recommended,status,version,detail
step0.1-p2,,,python-module,bs4,observed,installed,4.14.3,/usr/lib/python3/dist-packages/bs4/__init__.py
step0.1-p2,,,python-module,lxml,observed,installed,6.0.2,/usr/lib/python3/dist-packages/lxml/__init__.py
step0.1-p2,,,python-module,yaml,observed,installed,6.0.3,/usr/lib/python3/dist-packages/yaml/__init__.py
step0.1-p2,,,python-module,openpyxl,observed,installed,3.1.5,/usr/lib/python3/dist-packages/openpyxl/__init__.py
step0.1-p2,,,python-module,rich,observed,installed,13.9.4,/usr/lib/python3/dist-packages/rich/__init__.py
step0.1-p2,,,python-module,click,observed,installed,8.1.8,/usr/lib/python3/dist-packages/click/__init__.py
step0.1-p2,,,python-module,pygments,observed,installed,2.19.2,/usr/lib/python3/dist-packages/pygments/__init__.py
step0.1-p2,,,npm-global,@deepseek-ai/dsh,observed,installed,0.1.0-rc.6,npm global
step0.1-p2,,,npm-global,corepack,observed,installed,0.35.0,npm global
step0.1-p2,,,npm-global,npm,observed,installed,11.17.0,npm global
step0.1-p2,,,npm-global,pnpm,observed,installed,11.21.0,npm global
